fecha,Chuvia,refacho_max,Temperatura_med
2014-11-04 00:00:00.0,18.0,48.60,8.30
2014-11-05 00:00:00.0,2.1,33.80,9.30
2014-11-06 00:00:00.0,19.2,73.80,12.20
2014-11-07 00:00:00.0,2.3,44.20,12.30
2014-11-08 00:00:00.0,17.0,55.40,10.20
2014-11-09 00:00:00.0,3.8,28.90,8.50
2014-11-10 00:00:00.0,2.2,45.80,10.70
2014-11-11 00:00:00.0,18.5,59.10,10.80
2014-11-12 00:00:00.0,21.5,62.40,12.00
2014-11-13 00:00:00.0,24.1,82.80,13.60
2014-11-14 00:00:00.0,19.5,56.80,9.80
2014-11-15 00:00:00.0,14.2,57.50,10.00
2014-11-16 00:00:00.0,9.3,47.50,10.10
2014-11-17 00:00:00.0,0.6,21.50,10.00
2014-11-18 00:00:00.0,11.5,49.50,11.50
2014-11-19 00:00:00.0,1.0,36.40,11.80
2014-11-20 00:00:00.0,4.4,24.80,14.70
2014-11-21 00:00:00.0,1.8,22.30,14.10
2014-11-22 00:00:00.0,23.3,25.60,12.80
2014-11-23 00:00:00.0,17.9,64.50,10.90
2014-11-24 00:00:00.0,0.0,37.10,11.60
2014-11-25 00:00:00.0,0.0,30.10,10.80
2014-11-26 00:00:00.0,0.0,26.00,9.10
2014-11-27 00:00:00.0,0.0,55.40,9.40
2014-11-28 00:00:00.0,5.3,37.40,9.20
2014-11-29 00:00:00.0,0.0,47.00,10.00
2014-11-30 00:00:00.0,0.0,61.70,14.40
2014-12-01 00:00:00.0,0.0,33.80,11.60
2014-12-02 00:00:00.0,0.0,64.30,10.70
2014-12-03 00:00:00.0,0.0,55.80,9.10
2014-12-04 00:00:00.0,1.3,21.50,6.90
2014-12-05 00:00:00.0,0.0,40.10,7.10
2014-12-06 00:00:00.0,0.4,38.30,7.70
2014-12-07 00:00:00.0,1.2,30.40,8.80
2014-12-08 00:00:00.0,1.5,31.60,9.00
2014-12-09 00:00:00.0,0.0,17.50,8.60
2014-12-10 00:00:00.0,0.9,11.90,10.00
2014-12-11 00:00:00.0,0.0,17.10,9.70
2014-12-12 00:00:00.0,24.3,62.70,9.70
2014-12-13 00:00:00.0,22.0,66.20,7.50
2014-12-14 00:00:00.0,0.5,57.10,8.30
2014-12-15 00:00:00.0,8.0,23.00,6.90
2014-12-16 00:00:00.0,3.5,31.90,11.50
2014-12-17 00:00:00.0,0.4,30.80,10.40
2014-12-18 00:00:00.0,0.0,15.20,10.10
2014-12-19 00:00:00.0,0.3,21.20,9.60
2014-12-20 00:00:00.0,0.0,21.20,11.20
2014-12-21 00:00:00.0,0.0,28.60,10.50
2014-12-22 00:00:00.0,0.0,20.10,6.70
2014-12-23 00:00:00.0,0.0,19.20,7.20
2014-12-24 00:00:00.0,0.0,14.50,9.90
2014-12-25 00:00:00.0,0.0,22.70,8.70
2014-12-26 00:00:00.0,0.0,18.90,7.90
2014-12-27 00:00:00.0,2.0,24.50,9.10
2014-12-28 00:00:00.0,2.7,46.40,8.20
2014-12-29 00:00:00.0,0.0,33.80,4.90
2014-12-30 00:00:00.0,0.0,28.30,4.50
2014-12-31 00:00:00.0,0.0,20.80,4.90
2015-01-01 00:00:00.0,0.0,24.50,5.80
2015-01-02 00:00:00.0,0.0,26.00,6.70
2015-01-03 00:00:00.0,0.0,13.40,8.90
2015-01-04 00:00:00.0,0.0,31.50,9.90
2015-01-05 00:00:00.0,0.0,26.00,8.30
2015-01-06 00:00:00.0,0.0,23.80,8.90
2015-01-07 00:00:00.0,0.0,24.20,7.30
2015-01-08 00:00:00.0,0.0,18.60,9.00
2015-01-09 00:00:00.0,0.0,19.30,7.80
2015-01-10 00:00:00.0,0.3,17.10,7.10
2015-01-11 00:00:00.0,0.9,23.20,9.80
2015-01-12 00:00:00.0,0.0,45.00,8.30
